name,lat,lon,floor
"1,2番線ホーム上 7号車付近",35.693735,139.699081,-4
"1,2番線ホーム上 2号車付近",35.693096,139.699205,-4
新宿西口 D1出口 (新宿パレットビル),35.6925861,139.6994422,-1
新宿西口 D2出口(141(雨宮・港屋・パイン)ビル),35.692782,139.698951,-1
新宿西口 D3出口(新宿大ガード西交差点),35.693295,139.699262,-1
新宿西口 D4出口 (青梅街道方面),35.693478,139.698671,-1
新宿西口 D5出口 (西武新宿駅),35.694042,139.699105,-1
JR新宿駅方面改札,35.6930838,139.699219,-3
小滝橋通り方面改札,35.693792,139.6990914,-3
JR線新宿駅付近,35.6992225,139.699352,-0.5
京王線新宿駅付近,35.6992225,139.699352,-0.5
小田急線新宿駅,35.6992225,139.699352,-0.5
丸ノ内線改札口,35.6920128,139.6992742,-0.5
西武新宿駅付近,35.694246,139.6989118,1
